ID,experimental_phase,group,date,intake
422,Experimental,No-Uncertainty,2022-10-28,72
413,Experimental,Uncertainty,2022-10-29,52
414,Experimental,No-Uncertainty,2022-10-29,63
415,Experimental,No-Uncertainty,2022-10-29,57
416,Experimental,Uncertainty,2022-10-29,49
417,Experimental,Uncertainty,2022-10-29,54
418,Experimental,Uncertainty,2022-10-29,43
419,Experimental,Uncertainty,2022-10-29,43
420,Experimental,No-Uncertainty,2022-10-29,64
421,Experimental,No-Uncertainty,2022-10-29,64
422,Experimental,No-Uncertainty,2022-10-29,62
413,Experimental,Uncertainty,2022-10-30,40
414,Experimental,No-Uncertainty,2022-10-30,38
415,Experimental,No-Uncertainty,2022-10-30,52
416,Experimental,Uncertainty,2022-10-30,49
417,Experimental,Uncertainty,2022-10-30,54
418,Experimental,Uncertainty,2022-10-30,55
419,Experimental,Uncertainty,2022-10-30,47
420,Experimental,No-Uncertainty,2022-10-30,64
421,Experimental,No-Uncertainty,2022-10-30,52
422,Experimental,No-Uncertainty,2022-10-30,53
413,Experimental,Uncertainty,2022-10-31,47
414,Experimental,No-Uncertainty,2022-10-31,59
415,Experimental,No-Uncertainty,2022-10-31,65
416,Experimental,Uncertainty,2022-10-31,49
417,Experimental,Uncertainty,2022-10-31,54
418,Experimental,Uncertainty,2022-10-31,55
419,Experimental,Uncertainty,2022-10-31,42
420,Experimental,No-Uncertainty,2022-10-31,64
421,Experimental,No-Uncertainty,2022-10-31,70
422,Experimental,No-Uncertainty,2022-10-31,63
413,Experimental,Uncertainty,2022-11-01,43
414,Experimental,No-Uncertainty,2022-11-01,59
415,Experimental,No-Uncertainty,2022-11-01,65
416,Experimental,Uncertainty,2022-11-01,49
417,Experimental,Uncertainty,2022-11-01,54
418,Experimental,Uncertainty,2022-11-01,55
419,Experimental,Uncertainty,2022-11-01,51
420,Experimental,No-Uncertainty,2022-11-01,64
421,Experimental,No-Uncertainty,2022-11-01,65
422,Experimental,No-Uncertainty,2022-11-01,55
413,Experimental,Uncertainty,2022-11-02,48
414,Experimental,No-Uncertainty,2022-11-02,66
415,Experimental,No-Uncertainty,2022-11-02,65
416,Experimental,Uncertainty,2022-11-02,32
417,Experimental,Uncertainty,2022-11-02,43
418,Experimental,Uncertainty,2022-11-02,40
419,Experimental,Uncertainty,2022-11-02,64
420,Experimental,No-Uncertainty,2022-11-02,64
421,Experimental,No-Uncertainty,2022-11-02,60
422,Experimental,No-Uncertainty,2022-11-02,45
413,Experimental,Uncertainty,2022-11-03,40
414,Experimental,No-Uncertainty,2022-11-03,59
415,Experimental,No-Uncertainty,2022-11-03,65
416,Experimental,Uncertainty,2022-11-03,30
417,Experimental,Uncertainty,2022-11-03,30
418,Experimental,Uncertainty,2022-11-03,33
419,Experimental,Uncertainty,2022-11-03,33
420,Experimental,No-Uncertainty,2022-11-03,79
421,Experimental,No-Uncertainty,2022-11-03,54
422,Experimental,No-Uncertainty,2022-11-03,53
