pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
pool_2,4,2022 08 18,na_na_na_na,0_0_na,399,12 36 00,13 36 00,3,sacarosa,sacarosa,1,1,339,77,0,0,25,11,0.5,0.5
pool_2,4,2022 08 18,na_na_na_na,0_0_na,400,12 36 00,13 36 00,4,sacarosa,sacarosa,1,1,303,134,0,0,38,18,1,0.5
pool_2,5,2022 08 19,na_na_na_na,0_0_na,393,11 14 00,12 14 00,1,sacarosa,sacarosa,3,3,145,245,0,0,17,38,0.5,1
pool_2,5,2022 08 19,na_na_na_na,0_0_na,394,11 14 00,12 14 00,2,sacarosa,sacarosa,1,1,547,322,0,0,32,24,1,0.5
pool_2,5,2022 08 19,na_na_na_na,0_0_na,395,11 14 00,12 14 00,3,sacarosa,sacarosa,1,1,99,125,0,0,16,15,0.5,0.5
pool_2,5,2022 08 19,na_na_na_na,0_0_na,396,11 14 00,12 14 00,4,sacarosa,sacarosa,1,1,490,196,0,0,35,12,1,0.5
pool_2,5,2022 08 19,na_na_na_na,0_0_na,397,12 37 00,13 37 00,1,sacarosa,sacarosa,1,1,678,278,0,0,43,22,1.5,0.5
pool_2,5,2022 08 19,na_na_na_na,0_0_na,398,12 37 00,13 37 00,2,sacarosa,sacarosa,1,1,505,232,0,0,30,15,1,0.5
pool_2,5,2022 08 19,na_na_na_na,0_0_na,399,12 37 00,13 37 00,3,sacarosa,sacarosa,1,1,221,103,0,0,27,12,0.5,0
pool_2,5,2022 08 19,na_na_na_na,0_0_na,400,12 37 00,13 37 00,4,sacarosa,sacarosa,1,1,256,111,0,0,32,15,1,0.5
pool_2,6,2022 08 20,na_na_na_na,0_0_na,393,11 26 00,12 26 00,1,sacarosa,sacarosa,1,1,134,208,0,0,17,17,0,0.5
