ID,date,weight,group,experimental_phase,rel_date
413,2022-11-28,26.2,Uncertainty,Experimental,68
414,2022-11-28,29.4,No-Uncertainty,Experimental,68
415,2022-11-28,29.15,No-Uncertainty,Experimental,68
416,2022-11-28,27.5,Uncertainty,Experimental,68
417,2022-11-28,26.37,Uncertainty,Experimental,68
418,2022-11-28,25.7,Uncertainty,Experimental,68
419,2022-11-28,25.61,Uncertainty,Experimental,68
420,2022-11-28,27.5,No-Uncertainty,Experimental,68
421,2022-11-28,31.4,No-Uncertainty,Experimental,68
422,2022-11-28,28.1,No-Uncertainty,Experimental,68
413,2022-11-30,26.1,Uncertainty,Experimental,70
414,2022-11-30,29.5,No-Uncertainty,Experimental,70
415,2022-11-30,28.8,No-Uncertainty,Experimental,70
416,2022-11-30,26.8,Uncertainty,Experimental,70
417,2022-11-30,25.8,Uncertainty,Experimental,70
418,2022-11-30,27,Uncertainty,Experimental,70
419,2022-11-30,26.5,Uncertainty,Experimental,70
420,2022-11-30,27.3,No-Uncertainty,Experimental,70
421,2022-11-30,30,No-Uncertainty,Experimental,70
422,2022-11-30,28,No-Uncertainty,Experimental,70
413,2022-11-02,26.7,Uncertainty,Experimental,42
414,2022-11-02,29.4,No-Uncertainty,Experimental,42
415,2022-11-02,28.8,No-Uncertainty,Experimental,42
416,2022-11-02,29,Uncertainty,Experimental,42
417,2022-11-02,26.11,Uncertainty,Experimental,42
418,2022-11-02,26.7,Uncertainty,Experimental,42
419,2022-11-02,25.5,Uncertainty,Experimental,42
420,2022-11-02,27.6,No-Uncertainty,Experimental,42
421,2022-11-02,31,No-Uncertainty,Experimental,42
422,2022-11-02,28,No-Uncertainty,Experimental,42
413,2022-11-05,27,Uncertainty,Experimental,45
414,2022-11-05,29.1,No-Uncertainty,Experimental,45
415,2022-11-05,28.4,No-Uncertainty,Experimental,45
416,2022-11-05,28,Uncertainty,Experimental,45
417,2022-11-05,26,Uncertainty,Experimental,45
418,2022-11-05,26,Uncertainty,Experimental,45
419,2022-11-05,25.4,Uncertainty,Experimental,45
420,2022-11-05,28,No-Uncertainty,Experimental,45
421,2022-11-05,31.4,No-Uncertainty,Experimental,45
422,2022-11-05,28.3,No-Uncertainty,Experimental,45
494,2023-03-14,27.5,No-Uncertainty,Baseline,0
495,2023-03-14,26.7,Uncertainty,Baseline,0
496,2023-03-14,20.1,Uncertainty,Baseline,0
497,2023-03-14,21.5,Uncertainty,Baseline,0
498,2023-03-14,22.4,No-Uncertainty,Baseline,0
499,2023-03-14,22.2,No-Uncertainty,Baseline,0
500,2023-03-14,23.2,Uncertainty,Baseline,0
501,2023-03-14,24.8,No-Uncertainty,Baseline,0
494,2023-03-15,28.6,No-Uncertainty,Baseline,1
495,2023-03-15,26.6,Uncertainty,Baseline,1
496,2023-03-15,20.6,Uncertainty,Baseline,1
497,2023-03-15,21.5,Uncertainty,Baseline,1
498,2023-03-15,22.6,No-Uncertainty,Baseline,1
499,2023-03-15,22.8,No-Uncertainty,Baseline,1
500,2023-03-15,23.3,Uncertainty,Baseline,1
501,2023-03-15,24.15,No-Uncertainty,Baseline,1
494,2023-03-20,28.05,No-Uncertainty,Baseline,6
495,2023-03-20,26.6,Uncertainty,Baseline,6
496,2023-03-20,21.4,Uncertainty,Baseline,6
497,2023-03-20,20.8,Uncertainty,Baseline,6
498,2023-03-20,22.7,No-Uncertainty,Baseline,6
499,2023-03-20,22.6,No-Uncertainty,Baseline,6
500,2023-03-20,23.15,Uncertainty,Baseline,6
501,2023-03-20,24.5,No-Uncertainty,Baseline,6
494,2023-03-22,27,No-Uncertainty,Baseline,8
495,2023-03-22,26.3,Uncertainty,Baseline,8
496,2023-03-22,20.8,Uncertainty,Baseline,8
497,2023-03-22,20.4,Uncertainty,Baseline,8
498,2023-03-22,23.6,No-Uncertainty,Baseline,8
499,2023-03-22,22.4,No-Uncertainty,Baseline,8
500,2023-03-22,23,Uncertainty,Baseline,8
501,2023-03-22,23.9,No-Uncertainty,Baseline,8
494,2023-03-24,27.17,No-Uncertainty,Baseline,10
